"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1561","should clear signup form fields","chromium","Tue Jul 15 17:14:16 UTC 2025","passed","Tue Jul 15 17:14:18 UTC 2025","Login and Registration Tests > Registration Functionality","login.spec.js","",""
"","1908","should validate password field type","webkit","Tue Jul 15 17:11:24 UTC 2025","passed","Tue Jul 15 17:11:26 UTC 2025","Login and Registration Tests > Form Validation","login.spec.js","",""
"","2229","should fail login with empty credentials","webkit","Tue Jul 15 17:10:57 UTC 2025","passed","Tue Jul 15 17:10:59 UTC 2025","Login and Registration Tests > Login Functionality","login.spec.js","",""
"","2070","should fail login with invalid email format","webkit","Tue Jul 15 17:10:59 UTC 2025","passed","Tue Jul 15 17:11:01 UTC 2025","Login and Registration Tests > Login Functionality","login.spec.js","",""
"","3139","should navigate back to home page","chromium","Tue Jul 15 17:14:29 UTC 2025","passed","Tue Jul 15 17:14:32 UTC 2025","Login and Registration Tests > Navigation","login.spec.js","",""
"","3029","should load login page successfully","firefox","Tue Jul 15 17:08:52 UTC 2025","passed","Tue Jul 15 17:08:55 UTC 2025","Login and Registration Tests > Login Page Load","login.spec.js","",""
"","1764","should not expose password in URL","firefox","Tue Jul 15 17:09:40 UTC 2025","passed","Tue Jul 15 17:09:42 UTC 2025","Login and Registration Tests > Security","login.spec.js","",""
"","2857","should complete registration with all required fields","firefox","Tue Jul 15 17:09:21 UTC 2025","passed","Tue Jul 15 17:09:24 UTC 2025","Login and Registration Tests > Registration Functionality","login.spec.js","",""
"","1624","should validate required fields","firefox","Tue Jul 15 17:09:29 UTC 2025","passed","Tue Jul 15 17:09:31 UTC 2025","Login and Registration Tests > Form Validation","login.spec.js","",""
"","2379","should logout successfully","firefox","Tue Jul 15 17:09:35 UTC 2025","passed","Tue Jul 15 17:09:38 UTC 2025","Login and Registration Tests > Account Management","login.spec.js","",""
"","2494","should load login page within acceptable time","webkit","Tue Jul 15 17:11:54 UTC 2025","passed","Tue Jul 15 17:11:57 UTC 2025","Login and Registration Tests > Performance","login.spec.js","",""
"","2079","should fail login with invalid credentials","firefox","Tue Jul 15 17:09:04 UTC 2025","passed","Tue Jul 15 17:09:06 UTC 2025","Login and Registration Tests > Login Functionality","login.spec.js","",""
"","3385","should handle network errors gracefully","webkit","Tue Jul 15 17:11:47 UTC 2025","passed","Tue Jul 15 17:11:51 UTC 2025","Login and Registration Tests > Error Handling","login.spec.js","",""
"","1797","should fail registration with empty fields","firefox","Tue Jul 15 17:09:17 UTC 2025","passed","Tue Jul 15 17:09:19 UTC 2025","Login and Registration Tests > Registration Functionality","login.spec.js","",""
"","1881","should display both login and signup forms","firefox","Tue Jul 15 17:08:55 UTC 2025","passed","Tue Jul 15 17:08:57 UTC 2025","Login and Registration Tests > Login Page Load","login.spec.js","",""
"","2801","should navigate back to home page","webkit","Tue Jul 15 17:11:36 UTC 2025","passed","Tue Jul 15 17:11:39 UTC 2025","Login and Registration Tests > Navigation","login.spec.js","",""
"","2038","should fail login with invalid credentials","chromium","Tue Jul 15 17:13:56 UTC 2025","passed","Tue Jul 15 17:13:58 UTC 2025","Login and Registration Tests > Login Functionality","login.spec.js","",""
"","10048","should load login page successfully","webkit","Tue Jul 15 17:10:21 UTC 2025","passed","Tue Jul 15 17:10:31 UTC 2025","Login and Registration Tests > Login Page Load","login.spec.js","",""
"","1529","should fail login with invalid email format","chromium","Tue Jul 15 17:13:59 UTC 2025","passed","Tue Jul 15 17:14:01 UTC 2025","Login and Registration Tests > Login Functionality","login.spec.js","",""
"","1664","should fail registration with empty fields","chromium","Tue Jul 15 17:14:09 UTC 2025","passed","Tue Jul 15 17:14:10 UTC 2025","Login and Registration Tests > Registration Functionality","login.spec.js","",""
"","1686","should clear signup form fields","firefox","Tue Jul 15 17:09:24 UTC 2025","passed","Tue Jul 15 17:09:26 UTC 2025","Login and Registration Tests > Registration Functionality","login.spec.js","",""
"","3347","should not expose password in URL","webkit","Tue Jul 15 17:11:39 UTC 2025","passed","Tue Jul 15 17:11:42 UTC 2025","Login and Registration Tests > Security","login.spec.js","",""
"","1796","should clear login form fields","firefox","Tue Jul 15 17:09:09 UTC 2025","passed","Tue Jul 15 17:09:11 UTC 2025","Login and Registration Tests > Login Functionality","login.spec.js","",""
"","2025","should validate email field type","webkit","Tue Jul 15 17:11:22 UTC 2025","passed","Tue Jul 15 17:11:24 UTC 2025","Login and Registration Tests > Form Validation","login.spec.js","",""
"","1519","should validate password field type","chromium","Tue Jul 15 17:14:19 UTC 2025","passed","Tue Jul 15 17:14:21 UTC 2025","Login and Registration Tests > Form Validation","login.spec.js","",""
"","2901","should logout successfully","webkit","Tue Jul 15 17:11:33 UTC 2025","passed","Tue Jul 15 17:11:36 UTC 2025","Login and Registration Tests > Account Management","login.spec.js","",""
"","2336","should handle server errors gracefully","chromium","Tue Jul 15 17:14:40 UTC 2025","passed","Tue Jul 15 17:14:42 UTC 2025","Login and Registration Tests > Error Handling","login.spec.js","",""
"","1999","should logout successfully","chromium","Tue Jul 15 17:14:27 UTC 2025","passed","Tue Jul 15 17:14:29 UTC 2025","Login and Registration Tests > Account Management","login.spec.js","",""
"","2120","should not expose password in URL","chromium","Tue Jul 15 17:14:32 UTC 2025","passed","Tue Jul 15 17:14:34 UTC 2025","Login and Registration Tests > Security","login.spec.js","",""
